design	top_model	total_score
t02_2025_07_03_11_50_3_3	t02_2025_07_03_11_50_3_3	-812.332
t02_2025_07_03_11_48_0	t02_2025_07_03_11_48_0	-803.833
t02_2025_07_03_11_51_2_4	t02_2025_07_03_11_51_2_4	-795.720
t02_2025_07_03_11_50_3_2	t02_2025_07_03_11_50_3_2	-791.613
t02_2025_07_03_11_50_3_0	t02_2025_07_03_11_50_3_0	-790.957
t02_2025_07_03_11_51_2_3	t02_2025_07_03_11_51_2_3	-785.603
t03_2025_07_03_11_59_3_0	t03_2025_07_03_11_59_3_0	-784.871
fold_t02_2025_07_03_11_49	fold_t02_2025_07_03_11_49_model_0	-783.671
t02_2025_07_03_11_48_2	t02_2025_07_03_11_48_2	-782.891
t03_2025_07_03_11_59_3_3	t03_2025_07_03_11_59_3_3	-781.728
fold_2025_07_03_11_46	fold_2025_07_03_11_46_model_0	-778.322
t01_2025_07_03_11_45_1	t01_2025_07_03_11_45_1	-777.416
t03_2025_07_03_11_59_6_1	t03_2025_07_03_11_59_6_1	-777.416
t02_2025_07_03_11_50_3_4	t02_2025_07_03_11_50_3_4	-775.784
t01_2025_07_03_11_45_2	t01_2025_07_03_11_45_2	-775.228
t03_2025_07_03_11_59_6_2	t03_2025_07_03_11_59_6_2	-775.228
fold_2025_07_03_11_59	fold_2025_07_03_11_59_model_4	-774.323
t03_2025_07_03_11_59_4_4	t03_2025_07_03_11_59_4_4	-774.323
t03_2025_07_03_11_59_3_4	t03_2025_07_03_11_59_3_4	-774.198
t01_2025_07_03_11_45_3	t01_2025_07_03_11_45_3	-773.926
t03_2025_07_03_11_59_6_3	t03_2025_07_03_11_59_6_3	-773.926
t03_2025_07_03_11_59_4_2	t03_2025_07_03_11_59_4_2	-772.805
fold_2025_07_03_11_47	fold_2025_07_03_11_47_model_3	-770.067
t03_2025_07_03_12_00_8_4	t03_2025_07_03_12_00_8_4	-767.284
t03_2025_07_03_11_59_4_0	t03_2025_07_03_11_59_4_0	-765.264
t02_2025_07_03_11_51_2_0	t02_2025_07_03_11_51_2_0	-764.869
t01_2025_07_03_11_45_0	t01_2025_07_03_11_45_0	-761.567
t03_2025_07_03_11_59_6_0	t03_2025_07_03_11_59_6_0	-761.567
t02_2025_07_03_11_48_4	t02_2025_07_03_11_48_4	-761.126
t02_2025_07_03_11_49_3_3	t02_2025_07_03_11_49_3_3	-760.317
t02_2025_07_03_11_51_2_1	t02_2025_07_03_11_51_2_1	-760.001
fold_2025_07_03_12_01	fold_2025_07_03_12_01_model_0	-759.174
fold_t02_2025_07_03_11_48	fold_t02_2025_07_03_11_48_model_4	-758.676
t02_2025_07_03_11_48_2_4	t02_2025_07_03_11_48_2_4	-758.676
fold_t02_2025_07_03_11_51	fold_t02_2025_07_03_11_51_model_0	-758.427
t02_2025_07_03_11_49_3_0	t02_2025_07_03_11_49_3_0	-756.062
fold_t02_2025_07_03_11_50	fold_t02_2025_07_03_11_50_model_3	-747.861
t03_2025_07_03_12_00_8_1	t03_2025_07_03_12_00_8_1	-747.489
t01_2025_07_03_11_45_4	t01_2025_07_03_11_45_4	-746.840
t03_2025_07_03_11_59_6_4	t03_2025_07_03_11_59_6_4	-746.840
t03_2025_07_03_11_59_3_2	t03_2025_07_03_11_59_3_2	-746.164
t03_2025_07_03_12_00_8_3	t03_2025_07_03_12_00_8_3	-746.143
fold_2025_07_03_12_00	fold_2025_07_03_12_00_model_2	-745.945
t02_2025_07_03_11_48_3	t02_2025_07_03_11_48_3	-742.833
fold_2025_07_03_11_45	fold_2025_07_03_11_45_model_3	-739.621
t02_2025_07_03_11_49_3_1	t02_2025_07_03_11_49_3_1	-736.250
t02_2025_07_03_11_48_1	t02_2025_07_03_11_48_1	-736.069
t02_2025_07_03_11_48_2_3	t02_2025_07_03_11_48_2_3	-732.984
t02_2025_07_03_11_49_3_4	t02_2025_07_03_11_49_3_4	-731.613
t03_2025_07_03_11_59_3_1	t03_2025_07_03_11_59_3_1	-731.496
t02_2025_07_03_11_48_2_2	t02_2025_07_03_11_48_2_2	-728.923
t02_2025_07_03_11_48_2_1	t02_2025_07_03_11_48_2_1	-728.603
t03_2025_07_03_12_00_8_0	t03_2025_07_03_12_00_8_0	-719.672
t02_2025_07_03_11_49_3_2	t02_2025_07_03_11_49_3_2	-708.880
t02_2025_07_03_11_51_2_2	t02_2025_07_03_11_51_2_2	-708.572
fold_t02_2025_07_03_11_58	fold_t02_2025_07_03_11_58_model_2	-708.045
t02_2025_07_03_11_48_2_0	t02_2025_07_03_11_48_2_0	-688.844
t03_2025_07_03_11_59_4_1	t03_2025_07_03_11_59_4_1	-682.429
t03_2025_07_03_12_00_8_2	t03_2025_07_03_12_00_8_2	-674.964
t02_2025_07_03_11_50_3_1	t02_2025_07_03_11_50_3_1	-673.903
t03_2025_07_03_11_59_4_3	t03_2025_07_03_11_59_4_3	-658.116
